ZCTA5CE20,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,RegionID,SizeRank,RegionType,StateName,State,City,Metro,CountyName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
61283,61283.0,B5,G6350,S,216412468.0,0.0,41.590912,-89.7885593,84881.0,20106.0,zip,IL,IL,Tampico,"Sterling, IL",Whiteside County,,,,,,,,,,94895.46744899699,93489.04875617257,90876.27453884279,88955.77081142111,82807.30277226388,86623.4373769526,88924.2142576521,91645.46136478533,87013.73589343828,86558.08739368695,88222.0663193086,97031.32524875515,104235.492958475,108413.89419346617,111963.95999235516,111085.66972025676,116900.85637516575,120702.633877495
61560,61560.0,B5,G6350,S,89662714.0,21948928.0,41.187262,-89.4197898,85056.0,26223.0,zip,IL,IL,Putnam,"Ottawa, IL",Putnam County,,,,,,,,,,,,,98066.06004617101,98040.64619191538,97522.94605719649,99328.53508319729,110805.72235866885,115530.04769972991,123370.4773810265,127846.65076061767,129969.78706963907,155980.61353171017,175595.40926240667,191104.28995864533,207441.38908781644,214204.3360343481,214368.302250902
61537,61537.0,B5,G6350,S,147952643.0,2122327.0,41.1191661,-89.4714417,85038.0,16495.0,zip,IL,IL,Henry,"Peoria, IL",Marshall County,,,,,,,,,,,,,66591.0682618484,66384.86640749277,66111.71701745328,73071.66828434235,74738.72512394754,71114.11353216936,70749.13023149228,75267.67511894231,76669.82461330654,86249.91392804064,95179.96970188453,103131.45881356993,106882.36295998457,110407.41916953633,112230.848412213
61340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60087,60087.0,B5,G6350,S,33575888.0,2222166.0,42.4038384,-87.8535889,84342.0,4070.0,zip,IL,IL,Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,100683.79950004515,108000.37923780759,115098.67697037,121125.81479701733,127635.71912076643,135432.62220958908,143127.89968948232,143210.4459407619,132183.12728717134,115389.1855832899,104379.72313454149,89402.8208030847,79974.43430216832,80847.75852731266,90754.99938816829,103353.40195716445,116770.7159048585,128479.22472965991,138593.25759086324,145559.64138437892,152192.62070922265,171773.00624103908,193118.9974767894,204078.48379084424,222860.3752568844,237171.539732671,250138.724237689
60031,60031.0,B5,G6350,S,49258864.0,753962.0,42.3731885,-87.9396644,84296.0,2567.0,zip,IL,IL,Gurnee,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,168414.364879884,181614.6155030163,196299.66171720406,211494.30227662766,224747.6297964859,237268.39551991908,247392.4938745629,249192.3246103486,234955.87449528734,211687.60710673573,201817.63413149424,183211.57857851716,175107.31750685326,186344.49338696492,205085.76312446676,211229.981006856,218529.86439550924,226322.26932594343,232179.09147691843,233825.26253215884,240893.58036703066,268117.66514994524,296934.2768080907,310081.926116895,329205.0027357229,343798.08124575944,354621.490985087
60083,60083.0,B5,G6350,S,68355595.0,994203.0,42.4368412,-87.949952,84338.0,9546.0,zip,IL,IL,Wadsworth,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,177941.7635131829,188190.4139395978,205032.44770064007,221986.38029570816,240025.83309134477,252567.4877891141,259776.6503714005,260026.81891032294,246378.03270173064,222448.4846451019,210074.94262872697,188584.40907174043,178848.22140959455,190040.60043701532,205534.48202317965,211765.88951032842,221290.43376880858,228433.26130819626,233641.96295155692,236271.52944715283,243885.1988199354,272954.9645517299,306574.259127952,320014.6033375252,338374.2866280241,354862.16359328595,367965.792372469
60085,60085.0,B5,G6350,S,38293652.0,4032115.0,42.3549353,-87.8607611,84340.0,177.0,zip,IL,IL,Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,104761.20278726316,113504.82915455925,120853.91528312942,126915.88214132718,133079.08477845925,140674.92591023716,146986.6564698195,147248.88905286873,133370.21948019142,108157.46810007212,92715.5131407072,76011.8462467919,63902.32794776036,65305.74988800314,72624.67202692578,81717.43913092629,96422.72590029666,110915.64464310842,123161.860193038,131597.803739105,138937.3780823874,155216.1228725761,170309.37716095467,179711.43783736674,199392.9807515292,212506.11879459603,220299.069198672
