scraped_city,state,facility,operator,street,zip_code,city_in_desc
Los Angeles,CA,Centersquare - Los Angeles LAX2,Csquare,3015 Winona Avenue,91504,Burbank
Los Angeles,CA,Colocation America LADC1,Colocation America,624 South Grand Avenue,90017,Los Angeles
Los Angeles,CA,CoreSite Los Angeles (LA3),CoreSite,260 Bauchet St.,90012,Los Angeles
Los Angeles,CA,365 Data Centers - Los Angeles 1,365 Data Centers,600 W 7th St.,90017,Los Angeles
Los Angeles,CA,Vernon Data Center,"Downtown Properties Holdings, LLC",5001 S. Soto Street,90058,Vernon
Los Angeles,CA,Fireline Broadband Data Center,Fireline Broadband,5900 Wilshire Blvd,90036,Los Angeles
Los Angeles,CA,Edge Centres EC101 Los Angeles,Edge Centres,707 Wilshire Blvd.,90017,Los Angeles
Los Angeles,CA,Alchemy LAX Data Center,"Dynascale, Inc.",6171 West Century Blvd,90045,Los Angeles
Los Angeles,CA,Crown Castle Los Angeles LA3,CROWN CASTLE,530 W 6th St,90017,Los Angeles
Los Angeles,CA,DataBank - 707 Wilshire Blvd,DataBank,707 Wilshire Blvd,90017,Los Angeles
Los Angeles,CA,Aptum Los Angeles,Aptum,360 E 2nd Street,90017,Los Angeles
Los Angeles,CA,One Data Center America,One Data Center America,3833 Ebony St,91761,Ontario
Los Angeles,CA,DigiCo Los Angeles LAX2,DigiCo Infrastructure REIT,1980 Saturn St,91755,Monterey Park
Los Angeles,CA,365 Data Centers - Los Angeles 2,365 Data Centers,624 South Grand Ave,90017,Los Angeles
Los Angeles,CA,Spectrum Networks El Segundo,Spectrum,2345 Alaska Ave,90245,El Segundo
Los Angeles,CA,818 West 7th Street,"Downtown Properties Holdings, LLC",818 West 7th Street,90017,Los Angeles
Los Angeles,CA,Windstream Los Angeles,Windstream,530 West 6th St,90014,Los Angeles
Los Angeles,CA,365 Data Centers - Los Angeles 3,365 Data Centers,900 N. Alameda St,90012,Los Angeles
Los Angeles,CA,Lumen Los Angeles,Lumen,818 W. 7th Street,90017,Los Angeles
Los Angeles,CA,Quinby Building,Quinby Building,650 South Grand Avenue,90017,Los Angeles
Los Angeles,CA,Hostrunway Los Angeles,Hostrunway,900 N Alameda St #200,90012,Los Angeles
Los Angeles,CA,China Telecom One Wilshire,China Telecom Americas,624 S Grand Ave,90017,Los Angeles
Los Angeles,CA,611 Wilshire,Xyvest Holdings,611 Wilshire Blvd,90017,Los Angeles
Los Angeles,CA,Telecom Center LA,BGC Group,530 West 6th Street,90017,Los Angeles
Los Angeles,CA,NocRoom Los Angeles Colocation,NocRoom Miami Colocation VPS,530 W 6th Street Penthouse,90014,Los Angeles
Los Angeles,CA,Long Beach Data Center,Long Beach Data Center,3910 E 7th St,90804,Long Beach
Los Angeles,CA,IHNetworks Datacenter (SFV1),"IHNetworks, LLC",20339 Nordhoff Street,91311,Chatsworth
Los Angeles,CA,WebNX Los Angeles,WebNX Internet Services,530 W 6th St,90017,Los Angeles
Los Angeles,CA,Subrigo - 624 South Grand,Subrigo,624 South Grand Avenue,90017,Los Angeles
Los Angeles,CA,Lumen Los Angeles 4,Lumen,600 Wilshire Blvd,90017,Los Angeles
Los Angeles,CA,N/A,N/A,N/A,N/A,N/A
Chicago,IL,N/A,N/A,N/A,N/A,N/A
Chicago,IL,350 East Cermak Road (ORD10),Digital Realty,350 East Cermak Road,60616,Chicago
Chicago,IL,600 S. Federal St. (ORD11),Digital Realty,600 South Federal Street,60605,Chicago
Chicago,IL,505 N. Railroad Avenue (ORD23),Digital Realty,505 North Railroad Avenue,60164,Northlake
Chicago,IL,2200 Busse Road (CH1),Digital Realty,2200 Busse Road,60007,Elk Grove Village
Chicago,IL,9333 Grand Avenue (ORD12),Digital Realty,9333 Grand Avenue,60131,Franklin Park
