GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,U2TE001,NAME_M,U2TM001
"G81425","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81425",,,,,,,"86000US81425",,"ZCTA5 81425",853,"ZCTA5 81425",138
"G81426","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81426",,,,,,,"86000US81426",,"ZCTA5 81426",1792,"ZCTA5 81426",679
"G81427","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81427",,,,,,,"86000US81427",,"ZCTA5 81427",770,"ZCTA5 81427",205
"G81428","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81428",,,,,,,"86000US81428",,"ZCTA5 81428",777,"ZCTA5 81428",224
"G81429","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81429",,,,,,,"86000US81429",,"ZCTA5 81429",360,"ZCTA5 81429",529
"G81430","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81430",,,,,,,"86000US81430",,"ZCTA5 81430",1063,"ZCTA5 81430",625
"G81431","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81431",,,,,,,"86000US81431",,"ZCTA5 81431",950,"ZCTA5 81431",638
"G81432","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81432",,,,,,,"86000US81432",,"ZCTA5 81432",1211,"ZCTA5 81432",113
"G81433","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81433",,,,,,,"86000US81433",,"ZCTA5 81433",952,"ZCTA5 81433",113
"G81434","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81434",,,,,,,"86000US81434",,"ZCTA5 81434",172,"ZCTA5 81434",173
"G81435","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81435",,,,,,,"86000US81435",,"ZCTA5 81435",1590,"ZCTA5 81435",112
"G81501","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81501",,,,,,,"86000US81501",,"ZCTA5 81501",813,"ZCTA5 81501",37
"G81503","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81503",,,,,,,"86000US81503",,"ZCTA5 81503",947,"ZCTA5 81503",88
"G81504","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81504",,,,,,,"86000US81504",,"ZCTA5 81504",1055,"ZCTA5 81504",38
"G81505","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81505",,,,,,,"86000US81505",,"ZCTA5 81505",1161,"ZCTA5 81505",144
"G81506","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81506",,,,,,,"86000US81506",,"ZCTA5 81506",977,"ZCTA5 81506",109
"G81507","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81507",,,,,,,"86000US81507",,"ZCTA5 81507",1252,"ZCTA5 81507",106
"G81520","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81520",,,,,,,"86000US81520",,"ZCTA5 81520",787,"ZCTA5 81520",41
"G81521","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81521",,,,,,,"86000US81521",,"ZCTA5 81521",1161,"ZCTA5 81521",93
"G81522","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81522",,,,,,,"86000US81522",,"ZCTA5 81522",.,"ZCTA5 81522",.
"G81523","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81523",,,,,,,"86000US81523",,"ZCTA5 81523",1398,"ZCTA5 81523",439
"G81524","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81524",,,,,,,"86000US81524",,"ZCTA5 81524",1219,"ZCTA5 81524",327
"G81525","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81525",,,,,,,"86000US81525",,"ZCTA5 81525",1455,"ZCTA5 81525",180
