GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,NAEE001,NAME_M,NAEM001
"G89431","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89431",,,,,,,"86000US89431",,"ZCTA5 89431",903,"ZCTA5 89431",37
"G89433","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89433",,,,,,,"86000US89433",,"ZCTA5 89433",989,"ZCTA5 89433",51
"G89434","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89434",,,,,,,"86000US89434",,"ZCTA5 89434",1252,"ZCTA5 89434",50
"G89436","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89436",,,,,,,"86000US89436",,"ZCTA5 89436",1707,"ZCTA5 89436",54
"G89438","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89438",,,,,,,"86000US89438",,"ZCTA5 89438",.,"ZCTA5 89438",.
"G89439","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89439",,,,,,,"86000US89439",,"ZCTA5 89439",1033,"ZCTA5 89439",268
"G89440","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89440",,,,,,,"86000US89440",,"ZCTA5 89440",1402,"ZCTA5 89440",875
"G89441","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89441",,,,,,,"86000US89441",,"ZCTA5 89441",1751,"ZCTA5 89441",141
"G89442","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89442",,,,,,,"86000US89442",,"ZCTA5 89442",479,"ZCTA5 89442",86
"G89444","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89444",,,,,,,"86000US89444",,"ZCTA5 89444",879,"ZCTA5 89444",68
"G89445","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89445",,,,,,,"86000US89445",,"ZCTA5 89445",919,"ZCTA5 89445",98
"G89446","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89446",,,,,,,"86000US89446",,"ZCTA5 89446",.,"ZCTA5 89446",.
"G89447","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89447",,,,,,,"86000US89447",,"ZCTA5 89447",646,"ZCTA5 89447",76
"G89448","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89448",,,,,,,"86000US89448",,"ZCTA5 89448",1627,"ZCTA5 89448",368
"G89449","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89449",,,,,,,"86000US89449",,"ZCTA5 89449",1232,"ZCTA5 89449",224
"G89450","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89450",,,,,,,"86000US89450",,"ZCTA5 89450",2107,"ZCTA5 89450",1028
"G89451","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89451",,,,,,,"86000US89451",,"ZCTA5 89451",1798,"ZCTA5 89451",214
"G89460","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89460",,,,,,,"86000US89460",,"ZCTA5 89460",1296,"ZCTA5 89460",103
"G89501","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89501",,,,,,,"86000US89501",,"ZCTA5 89501",664,"ZCTA5 89501",62
"G89502","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89502",,,,,,,"86000US89502",,"ZCTA5 89502",840,"ZCTA5 89502",22
"G89503","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89503",,,,,,,"86000US89503",,"ZCTA5 89503",938,"ZCTA5 89503",52
"G89506","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89506",,,,,,,"86000US89506",,"ZCTA5 89506",1305,"ZCTA5 89506",81
"G89508","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89508",,,,,,,"86000US89508",,"ZCTA5 89508",1613,"ZCTA5 89508",77
"G89509","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89509",,,,,,,"86000US89509",,"ZCTA5 89509",994,"ZCTA5 89509",31
"G89510","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89510",,,,,,,"86000US89510",,"ZCTA5 89510",1575,"ZCTA5 89510",394
