GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,ABY2E001,NAME_M,ABY2M001
"G98940","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98940",,,,,,,"86000US98940",,"ZCTA5 98940",1211,"ZCTA5 98940",410
"G98941","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98941",,,,,,,"86000US98941",,"ZCTA5 98941",1152,"ZCTA5 98941",347
"G98942","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98942",,,,,,,"86000US98942",,"ZCTA5 98942",1008,"ZCTA5 98942",78
"G98943","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98943",,,,,,,"86000US98943",,"ZCTA5 98943",1133,"ZCTA5 98943",187
"G98944","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98944",,,,,,,"86000US98944",,"ZCTA5 98944",759,"ZCTA5 98944",36
"G98946","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98946",,,,,,,"86000US98946",,"ZCTA5 98946",985,"ZCTA5 98946",324
"G98947","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98947",,,,,,,"86000US98947",,"ZCTA5 98947",846,"ZCTA5 98947",93
"G98948","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98948",,,,,,,"86000US98948",,"ZCTA5 98948",715,"ZCTA5 98948",97
"G98950","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98950",,,,,,,"86000US98950",,"ZCTA5 98950",.,"ZCTA5 98950",.
"G98951","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98951",,,,,,,"86000US98951",,"ZCTA5 98951",690,"ZCTA5 98951",38
"G98952","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98952",,,,,,,"86000US98952",,"ZCTA5 98952",461,"ZCTA5 98952",48
"G98953","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98953",,,,,,,"86000US98953",,"ZCTA5 98953",1013,"ZCTA5 98953",107
"G99001","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99001",,,,,,,"86000US99001",,"ZCTA5 99001",850,"ZCTA5 99001",127
"G99003","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99003",,,,,,,"86000US99003",,"ZCTA5 99003",1009,"ZCTA5 99003",183
"G99004","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99004",,,,,,,"86000US99004",,"ZCTA5 99004",834,"ZCTA5 99004",41
"G99005","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99005",,,,,,,"86000US99005",,"ZCTA5 99005",1488,"ZCTA5 99005",130
"G99006","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99006",,,,,,,"86000US99006",,"ZCTA5 99006",875,"ZCTA5 99006",86
"G99008","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99008",,,,,,,"86000US99008",,"ZCTA5 99008",805,"ZCTA5 99008",614
"G99009","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99009",,,,,,,"86000US99009",,"ZCTA5 99009",912,"ZCTA5 99009",159
"G99011","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99011",,,,,,,"86000US99011",,"ZCTA5 99011",1143,"ZCTA5 99011",35
"G99012","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99012",,,,,,,"86000US99012",,"ZCTA5 99012",916,"ZCTA5 99012",271
"G99013","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99013",,,,,,,"86000US99013",,"ZCTA5 99013",607,"ZCTA5 99013",145
"G99016","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99016",,,,,,,"86000US99016",,"ZCTA5 99016",1140,"ZCTA5 99016",118
"G99017","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99017",,,,,,,"86000US99017",,"ZCTA5 99017",525,"ZCTA5 99017",279
"G99018","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99018",,,,,,,"86000US99018",,"ZCTA5 99018",711,"ZCTA5 99018",239
"G99019","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99019",,,,,,,"86000US99019",,"ZCTA5 99019",1177,"ZCTA5 99019",130
"G99020","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99020",,,,,,,"86000US99020",,"ZCTA5 99020",.,"ZCTA5 99020",.
"G99021","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99021",,,,,,,"86000US99021",,"ZCTA5 99021",893,"ZCTA5 99021",159
"G99022","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99022",,,,,,,"86000US99022",,"ZCTA5 99022",910,"ZCTA5 99022",125
"G99023","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99023",,,,,,,"86000US99023",,"ZCTA5 99023",1393,"ZCTA5 99023",836
"G99025","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99025",,,,,,,"86000US99025",,"ZCTA5 99025",1321,"ZCTA5 99025",186
"G99026","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99026",,,,,,,"86000US99026",,"ZCTA5 99026",1223,"ZCTA5 99026",90
"G99027","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99027",,,,,,,"86000US99027",,"ZCTA5 99027",964,"ZCTA5 99027",127
"G99029","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99029",,,,,,,"86000US99029",,"ZCTA5 99029",896,"ZCTA5 99029",124
"G99030","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99030",,,,,,,"86000US99030",,"ZCTA5 99030",942,"ZCTA5 99030",225
"G99031","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99031",,,,,,,"86000US99031",,"ZCTA5 99031",831,"ZCTA5 99031",220
"G99032","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99032",,,,,,,"86000US99032",,"ZCTA5 99032",666,"ZCTA5 99032",54
"G99033","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99033",,,,,,,"86000US99033",,"ZCTA5 99033",725,"ZCTA5 99033",100
"G99034","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99034",,,,,,,"86000US99034",,"ZCTA5 99034",.,"ZCTA5 99034",.
"G99036","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99036",,,,,,,"86000US99036",,"ZCTA5 99036",925,"ZCTA5 99036",229
"G99037","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99037",,,,,,,"86000US99037",,"ZCTA5 99037",946,"ZCTA5 99037",119
"G99039","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99039",,,,,,,"86000US99039",,"ZCTA5 99039",784,"ZCTA5 99039",112
"G99040","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99040",,,,,,,"86000US99040",,"ZCTA5 99040",255,"ZCTA5 99040",29
