GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AIM5E001,NAME_M,AIM5M001
"G61260","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61260",,,,,,,"86000US61260",,"ZCTA5 61260",700,"ZCTA5 61260",181
"G61261","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61261",,,,,,,"86000US61261",,"ZCTA5 61261",613,"ZCTA5 61261",107
"G61262","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61262",,,,,,,"86000US61262",,"ZCTA5 61262",883,"ZCTA5 61262",89
"G61263","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61263",,,,,,,"86000US61263",,"ZCTA5 61263",761,"ZCTA5 61263",152
"G61264","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61264",,,,,,,"86000US61264",,"ZCTA5 61264",699,"ZCTA5 61264",58
"G61265","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61265",,,,,,,"86000US61265",,"ZCTA5 61265",780,"ZCTA5 61265",23
"G61270","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61270",,,,,,,"86000US61270",,"ZCTA5 61270",757,"ZCTA5 61270",43
"G61272","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61272",,,,,,,"86000US61272",,"ZCTA5 61272",506,"ZCTA5 61272",73
"G61273","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61273",,,,,,,"86000US61273",,"ZCTA5 61273",845,"ZCTA5 61273",108
"G61274","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61274",,,,,,,"86000US61274",,"ZCTA5 61274",649,"ZCTA5 61274",267
"G61275","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61275",,,,,,,"86000US61275",,"ZCTA5 61275",923,"ZCTA5 61275",79
"G61276","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61276",,,,,,,"86000US61276",,"ZCTA5 61276",.,"ZCTA5 61276",.
"G61277","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61277",,,,,,,"86000US61277",,"ZCTA5 61277",696,"ZCTA5 61277",32
"G61278","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61278",,,,,,,"86000US61278",,"ZCTA5 61278",911,"ZCTA5 61278",136
"G61279","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61279",,,,,,,"86000US61279",,"ZCTA5 61279",777,"ZCTA5 61279",91
"G61281","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61281",,,,,,,"86000US61281",,"ZCTA5 61281",892,"ZCTA5 61281",183
"G61282","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61282",,,,,,,"86000US61282",,"ZCTA5 61282",797,"ZCTA5 61282",63
"G61283","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61283",,,,,,,"86000US61283",,"ZCTA5 61283",753,"ZCTA5 61283",141
"G61284","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61284",,,,,,,"86000US61284",,"ZCTA5 61284",741,"ZCTA5 61284",198
"G61285","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61285",,,,,,,"86000US61285",,"ZCTA5 61285",677,"ZCTA5 61285",40
