GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AMJBE001,NAME_M,AMJBM001
"G49679","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49679",,,,,,,"86000US49679",,"ZCTA5 49679",703,"ZCTA5 49679",114
"G49680","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49680",,,,,,,"86000US49680",,"ZCTA5 49680",757,"ZCTA5 49680",77
"G49682","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49682",,,,,,,"86000US49682",,"ZCTA5 49682",1067,"ZCTA5 49682",48
"G49683","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49683",,,,,,,"86000US49683",,"ZCTA5 49683",751,"ZCTA5 49683",61
"G49684","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49684",,,,,,,"86000US49684",,"ZCTA5 49684",1014,"ZCTA5 49684",36
"G49686","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49686",,,,,,,"86000US49686",,"ZCTA5 49686",1031,"ZCTA5 49686",33
"G49688","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49688",,,,,,,"86000US49688",,"ZCTA5 49688",735,"ZCTA5 49688",77
"G49689","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49689",,,,,,,"86000US49689",,"ZCTA5 49689",618,"ZCTA5 49689",58
"G49690","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49690",,,,,,,"86000US49690",,"ZCTA5 49690",1077,"ZCTA5 49690",72
"G49701","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49701",,,,,,,"86000US49701",,"ZCTA5 49701",687,"ZCTA5 49701",44
"G49705","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49705",,,,,,,"86000US49705",,"ZCTA5 49705",713,"ZCTA5 49705",47
"G49706","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49706",,,,,,,"86000US49706",,"ZCTA5 49706",801,"ZCTA5 49706",96
"G49707","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49707",,,,,,,"86000US49707",,"ZCTA5 49707",615,"ZCTA5 49707",26
"G49709","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49709",,,,,,,"86000US49709",,"ZCTA5 49709",531,"ZCTA5 49709",56
"G49710","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49710",,,,,,,"86000US49710",,"ZCTA5 49710",507,"ZCTA5 49710",59
"G49712","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49712",,,,,,,"86000US49712",,"ZCTA5 49712",842,"ZCTA5 49712",45
"G49713","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49713",,,,,,,"86000US49713",,"ZCTA5 49713",839,"ZCTA5 49713",65
"G49715","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49715",,,,,,,"86000US49715",,"ZCTA5 49715",646,"ZCTA5 49715",62
"G49716","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49716",,,,,,,"86000US49716",,"ZCTA5 49716",889,"ZCTA5 49716",135
"G49717","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49717",,,,,,,"86000US49717",,"ZCTA5 49717",.,"ZCTA5 49717",.
"G49718","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49718",,,,,,,"86000US49718",,"ZCTA5 49718",709,"ZCTA5 49718",109
"G49719","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49719",,,,,,,"86000US49719",,"ZCTA5 49719",737,"ZCTA5 49719",142
"G49720","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49720",,,,,,,"86000US49720",,"ZCTA5 49720",802,"ZCTA5 49720",47
"G49721","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49721",,,,,,,"86000US49721",,"ZCTA5 49721",665,"ZCTA5 49721",30
"G49722","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49722",,,,,,,"86000US49722",,"ZCTA5 49722",722,"ZCTA5 49722",403
"G49724","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49724",,,,,,,"86000US49724",,"ZCTA5 49724",775,"ZCTA5 49724",178
"G49725","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49725",,,,,,,"86000US49725",,"ZCTA5 49725",585,"ZCTA5 49725",43
"G49726","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49726",,,,,,,"86000US49726",,"ZCTA5 49726",681,"ZCTA5 49726",68
"G49727","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49727",,,,,,,"86000US49727",,"ZCTA5 49727",715,"ZCTA5 49727",29
"G49728","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49728",,,,,,,"86000US49728",,"ZCTA5 49728",733,"ZCTA5 49728",283
"G49729","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49729",,,,,,,"86000US49729",,"ZCTA5 49729",796,"ZCTA5 49729",78
"G49730","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49730",,,,,,,"86000US49730",,"ZCTA5 49730",757,"ZCTA5 49730",75
"G49733","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49733",,,,,,,"86000US49733",,"ZCTA5 49733",831,"ZCTA5 49733",64
"G49735","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49735",,,,,,,"86000US49735",,"ZCTA5 49735",859,"ZCTA5 49735",39
"G49736","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49736",,,,,,,"86000US49736",,"ZCTA5 49736",563,"ZCTA5 49736",57
"G49738","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49738",,,,,,,"86000US49738",,"ZCTA5 49738",738,"ZCTA5 49738",31
"G49740","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49740",,,,,,,"86000US49740",,"ZCTA5 49740",991,"ZCTA5 49740",34
"G49743","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49743",,,,,,,"86000US49743",,"ZCTA5 49743",558,"ZCTA5 49743",54
"G49744","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49744",,,,,,,"86000US49744",,"ZCTA5 49744",590,"ZCTA5 49744",191
"G49745","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49745",,,,,,,"86000US49745",,"ZCTA5 49745",652,"ZCTA5 49745",104
"G49746","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49746",,,,,,,"86000US49746",,"ZCTA5 49746",623,"ZCTA5 49746",42
"G49747","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49747",,,,,,,"86000US49747",,"ZCTA5 49747",619,"ZCTA5 49747",59
"G49748","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49748",,,,,,,"86000US49748",,"ZCTA5 49748",605,"ZCTA5 49748",66
"G49749","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49749",,,,,,,"86000US49749",,"ZCTA5 49749",694,"ZCTA5 49749",51
"G49751","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49751",,,,,,,"86000US49751",,"ZCTA5 49751",833,"ZCTA5 49751",126
"G49752","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49752",,,,,,,"86000US49752",,"ZCTA5 49752",730,"ZCTA5 49752",87
"G49753","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49753",,,,,,,"86000US49753",,"ZCTA5 49753",686,"ZCTA5 49753",59
"G49755","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49755",,,,,,,"86000US49755",,"ZCTA5 49755",781,"ZCTA5 49755",53
"G49756","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49756",,,,,,,"86000US49756",,"ZCTA5 49756",629,"ZCTA5 49756",54
"G49757","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49757",,,,,,,"86000US49757",,"ZCTA5 49757",860,"ZCTA5 49757",233
"G49759","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49759",,,,,,,"86000US49759",,"ZCTA5 49759",542,"ZCTA5 49759",48
"G49760","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49760",,,,,,,"86000US49760",,"ZCTA5 49760",735,"ZCTA5 49760",129
"G49762","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49762",,,,,,,"86000US49762",,"ZCTA5 49762",538,"ZCTA5 49762",73
"G49764","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49764",,,,,,,"86000US49764",,"ZCTA5 49764",592,"ZCTA5 49764",84
"G49765","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49765",,,,,,,"86000US49765",,"ZCTA5 49765",575,"ZCTA5 49765",41
