GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AD8XE001,NAME_M,AD8XM001
"G89124","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89124",,,,,,,"86000US89124",,"ZCTA5 89124",973,"ZCTA5 89124",278
"G89128","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89128",,,,,,,"86000US89128",,"ZCTA5 89128",1053,"ZCTA5 89128",32
"G89129","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89129",,,,,,,"86000US89129",,"ZCTA5 89129",1259,"ZCTA5 89129",36
"G89130","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89130",,,,,,,"86000US89130",,"ZCTA5 89130",1279,"ZCTA5 89130",42
"G89131","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89131",,,,,,,"86000US89131",,"ZCTA5 89131",1485,"ZCTA5 89131",39
"G89134","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89134",,,,,,,"86000US89134",,"ZCTA5 89134",1123,"ZCTA5 89134",37
"G89135","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89135",,,,,,,"86000US89135",,"ZCTA5 89135",1539,"ZCTA5 89135",47
"G89138","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89138",,,,,,,"86000US89138",,"ZCTA5 89138",1852,"ZCTA5 89138",106
"G89139","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89139",,,,,,,"86000US89139",,"ZCTA5 89139",1392,"ZCTA5 89139",41
"G89141","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89141",,,,,,,"86000US89141",,"ZCTA5 89141",1591,"ZCTA5 89141",59
"G89142","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89142",,,,,,,"86000US89142",,"ZCTA5 89142",1042,"ZCTA5 89142",30
"G89143","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89143",,,,,,,"86000US89143",,"ZCTA5 89143",1421,"ZCTA5 89143",55
"G89144","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89144",,,,,,,"86000US89144",,"ZCTA5 89144",1448,"ZCTA5 89144",52
"G89145","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89145",,,,,,,"86000US89145",,"ZCTA5 89145",1122,"ZCTA5 89145",29
"G89146","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89146",,,,,,,"86000US89146",,"ZCTA5 89146",943,"ZCTA5 89146",32
"G89147","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89147",,,,,,,"86000US89147",,"ZCTA5 89147",1155,"ZCTA5 89147",24
"G89148","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89148",,,,,,,"86000US89148",,"ZCTA5 89148",1318,"ZCTA5 89148",28
"G89149","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89149",,,,,,,"86000US89149",,"ZCTA5 89149",1275,"ZCTA5 89149",41
"G89156","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89156",,,,,,,"86000US89156",,"ZCTA5 89156",964,"ZCTA5 89156",30
"G89161","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89161",,,,,,,"86000US89161",,"ZCTA5 89161",.,"ZCTA5 89161",.
