GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,RGDE001,NAME_M,RGDM001
"G74114","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74114",,,,,,,"86000US74114",,"ZCTA5 74114",1071,"ZCTA5 74114",40
"G74115","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74115",,,,,,,"86000US74115",,"ZCTA5 74115",687,"ZCTA5 74115",31
"G74116","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74116",,,,,,,"86000US74116",,"ZCTA5 74116",640,"ZCTA5 74116",33
"G74117","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74117",,,,,,,"86000US74117",,"ZCTA5 74117",369,"ZCTA5 74117",72
"G74119","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74119",,,,,,,"86000US74119",,"ZCTA5 74119",657,"ZCTA5 74119",53
"G74120","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74120",,,,,,,"86000US74120",,"ZCTA5 74120",695,"ZCTA5 74120",40
"G74126","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74126",,,,,,,"86000US74126",,"ZCTA5 74126",641,"ZCTA5 74126",35
"G74127","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74127",,,,,,,"86000US74127",,"ZCTA5 74127",654,"ZCTA5 74127",35
"G74128","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74128",,,,,,,"86000US74128",,"ZCTA5 74128",750,"ZCTA5 74128",38
"G74129","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74129",,,,,,,"86000US74129",,"ZCTA5 74129",796,"ZCTA5 74129",44
"G74130","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74130",,,,,,,"86000US74130",,"ZCTA5 74130",748,"ZCTA5 74130",105
"G74131","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74131",,,,,,,"86000US74131",,"ZCTA5 74131",902,"ZCTA5 74131",205
"G74132","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74132",,,,,,,"86000US74132",,"ZCTA5 74132",964,"ZCTA5 74132",104
