RegionID,SizeRank,ZipCode,RegionType,StateName,State,City,Metro,CountyName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
84628,844,60626,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,93855.44646091502,108238.44186824885,123242.14973322359,134051.28424009017,144535.72650935466,159287.86431508427,171786.3900522835,174748.57162070775,170320.91873009992,151345.45728220584,140654.33210002584,116139.1023752365,98454.09097720003,109379.92211334722,135037.32050303402,150232.2644137745,161927.84682766034,171019.1554812655,184835.5611837105,186724.81696997126,188372.8991814631,197697.17539890576,204120.77610399734,210762.65182734336,225900.77778355635,239973.82414550727
84615,867,60613,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,179368.54457018198,207428.26111192568,227515.91792609965,239763.16663768035,251942.13544334882,268606.6011798343,281764.84322627104,281578.2379474673,270459.56601655233,247233.94227872716,239474.26321393732,220668.73250571266,207215.83677665182,227386.23991794814,253692.89534216758,257759.90495287208,264940.76537261234,277033.63211108226,281904.3100427374,273778.20457333274,272445.72156004637,281227.1065063744,289365.4071430532,286797.2881543212,300290.16156563757,313950.24001827475
84647,895,60649,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,86748.4004865514,94942.27817514112,106036.69348517717,114087.45453130068,123489.810465572,136613.5238298235,152832.03218072958,163749.08569995067,157115.01494058766,122258.72282715992,106477.46011443483,93155.01433355281,75604.37403394662,69820.87627321371,80661.82161743629,83028.82168137359,95099.30545145158,102277.15789322533,111823.73103334825,116246.24840566675,127380.79849557766,148924.84724016092,152964.5233234636,141528.77193658767,144169.82153894534,139014.37215238367
84618,949,60616,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,190831.00091745344,211589.39587544082,238718.27814531268,267599.68638422876,295731.00084660307,324580.67284626415,345875.28937760956,351361.8919619221,346139.61225081264,318834.1520745654,296768.55785726843,269846.9356786696,235650.56682390717,243787.29418134934,282569.52279540437,292271.3722504811,312913.5658964877,321115.01552995,325082.2570861948,321147.8397418106,327927.8364154471,339313.1564292057,345152.9710479695,331967.2103008426,316387.7946727875,308626.72115534294
84642,999,60643,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,131623.25334004816,143447.04314257225,151065.2655838625,160234.56499830665,173681.05370887392,191069.7575811455,211054.14040838485,216501.9462473849,210044.52597654026,182426.671518922,169340.81140720585,148807.33918239584,129811.19438582491,122419.73660012742,127127.69580441459,133680.02522992124,143372.87511329367,152142.62450109233,164045.3964619615,168770.8847204795,177219.145980399,203393.71593211286,216403.33228871902,208434.77475512968,211341.50298168635,214963.81089462258
84644,1107,60645,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,112801.22572245549,129354.86872426434,145892.28873525534,161994.27298068584,175685.15404051065,196724.25097188415,214991.816780041,219712.44499865384,207855.72278915043,177025.59088998742,164336.98791536034,146468.27085729333,143586.9231689689,156402.20930189517,183578.68464954817,201051.84023415958,216595.94288254157,226621.0228465077,238834.115625162,241118.6403288023,245713.01098263284,259374.5120892703,265515.40320247,264059.59026772017,276363.432896231,280579.1405286752
84643,1121,60644,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,72470.77685038485,78242.19922086755,85213.41629273108,91217.08111575009,99824.4450176658,112710.57294082559,129655.54066982075,141258.00132385126,133182.16460284466,98405.77402323428,77268.19955967629,66959.50556209499,60345.37820077896,63651.63282509381,75394.86665096422,90936.49408597872,112038.88061604375,115408.46436928982,137453.7447444504,153303.69131509608,173870.60058818807,208341.696794537,212721.97212578185,198403.19915021156,203695.17235460042,206269.9177197295
84637,1127,60637,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,171441.50447579593,181472.38930930058,202048.38971888382,223982.88271794064,248802.12134519767,284948.60762044485,313465.1477887693,324818.68570350134,317736.72560884914,273464.64408974204,230775.40296455208,195443.4915169595,155291.6067950145,145028.67879272124,158281.94276440833,158169.78049220034,162427.28598725624,176832.79854107674,195921.82635929258,203358.47295856217,215177.3937629925,233332.65486592066,234527.41076747127,226145.18361285774,223663.9237473715,224859.83217393118
84655,1318,60659,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,135525.68193372083,157361.41971350025,174468.85286652323,189818.51172588184,208460.11372470882,235529.56606438325,256235.16489155,258132.06289341243,242947.13427058034,209070.04399220124,192469.07224038485,170585.92059087392,165611.5731064785,184422.41731467328,220332.83313486492,237995.60035435474,253848.257128584,265375.2609650078,277948.20563246805,277587.2894601413,283165.1839440641,305156.3407643644,312885.32100044267,312930.00149160944,326484.7071528272,329716.76983810775
84656,1545,60660,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,113481.83905887684,133024.1335776856,150384.68775677224,162500.11482395575,174385.33038294225,187754.54090369117,200774.24367340235,202916.06059982398,192857.92957842335,172436.34746635467,162210.64048153817,140491.37801895742,128093.27369527699,142404.05478202016,168732.61685890425,180636.87660712993,187921.96606807152,199025.75662418015,210156.3927881736,208914.45387211058,210975.34115281943,219063.7114201076,229336.04433969772,235123.07523366818,251652.18858818544,267535.6480245273
